Product Name,Price in AED
Green Capsicum - Loose,19.75
Red Capsicum - Loose,16.50
Mix Colours Capsicum - Pack,10.75
Eggplant - Loose,17.50
White Asparagus XL - Pack,20.95
Chinese Cabbage - Piece,15.75
Leeks - Loose,12.50
Chat White Potato - Loose,5.50
Selezione Oro Baby Rocket - Pack,8.50
Selezione Oro Mixed Lettuce - Pack,8.50
Sugar Snaps - Pack,11.75
Peeled Baby Carrots - Pack,5.75
Baby Corn - Pack,4.50
Banana Shallots - Loose,26.75
Russet Potato ( Idaho ) - Loose,16.50
English Cucumber - Loose,16.75
Jumbo Asparagus - Pack,22.95
Kinoko Portobello Mushrooms - Eco Pack,12.75
Orange Capsicum - Loose,17.75
Yellow Capsicum - Loose,16.50
Green Courgettes - Loose,16.50
Beef Tomato - Loose,19.00
Green Asparagus XL - Pack,23.75
Fennel - Loose,16.75
Yellow Cherry Tomato - Pack,9.95
Chat White Potato - Bulk,99.00
Baby Spinach - Pack,10.75
Mangetout Peas Snow Peas - Pack,12.00
Baby Asparagus - Pack,6.50
Sweet Potato Medium - Loose,8.00
Purple Potato - Loose,21.75
Red Tomato Bunches - Loose,17.25
Courgette Mini - Pack,12.50
Artichokes - Loose,24.75
Plum Tomatoes - Loose,19.75
Coriander - Pack,1.00
Spring Onion - Pack,1.00
Spinach - Pack,1.00
Potato - Loose,2.75
Tomato - Loose,5.50
Lettuce - Piece,3.25
Cucumber - Loose,4.95
Red Onion - Loose,2.50
Carrot - Loose,6.25
Parsley - Pack,1.00
